name,tags,steps,description,ingredients,recipe_steps,standard_format,metric_conversion
fried  pork chops and gravy,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'pork', 'oven', 'meat', 'pork-chops', 'equipment']","['in a blender combine the marinade ingredients', 'blend until smooth', 'place pork chops in a resealable bag and add marinade', 'squeeze out as much air as you can and seal the bag', 'refrigerate for 4 to 8 hours', 'preheat oven to 425', 'remove chops from bag and discard marinade', 'blot chops with paper towel to remove excess moisture', 'place well-beaten eggs in a pie plate', 'combine pancake mix , paprika , and salt in another pie plate', 'dip each chop in pancake mix , shake off excess', 'dip in egg , coating both sides', 'dip in pancake mix again , coating well', 'move to wire rack to set for 5 minutes', 'meanwhile , spray a 9 x 13-inch glass baking dish with non-stick spray', 'put the butter in the baking dish and place in the preheated oven to melt', 'place chops in one layer in melted butter in baking dish', 'bake for 10 minutes', 'turn chops over carefully and bake for 10 minutes more', 'remove to wire rack placed over paper towels to drain', 'in a saucepan over medium high heat combine 2 tablespoons drippings from baking pan with flour', 'stir to make a smooth paste', 'add chicken broth , beef granules , marjoram and sage', 'bring to a boil , turn heat down , simmer and whisk until thickened and smooth , about 5 minutes', 'serve chops with mashed potatoes and pass the gravy', 'enjoy']",i revved up my sister's basic recipe for oven-fried chops. treat your family to a meal fit for company. prep time does not include marinating.,"['garlic clove', 'fresh lemon juice', 'canola oil', 'dijon mustard', 'brown sugar', 'salt', 'pepper', 'marjoram', 'boneless center cut pork chops', 'eggs', 'water', 'pancake mix', 'paprika', 'butter', 'pan drippings', 'flour', 'chicken broth', 'beef bouillon granules', 'sage']",,"""1 clove garlic, 1 tbsp fresh lemon juice, 1/4 cup canola oil, 2 tbsp dijon mustard, 1/4 cup brown sugar, 1 tsp salt, 1/2 tsp pepper, 1 tsp marjoram, 2 pork chops, 2 eggs, 1 cup water, 1 cup pancake mix, 1 tsp paprika, 2 tbsp butter, 2 tbsp pan drippings, 2 cups flour, 2 cups chicken broth, 2 tbsp beef bouillon granules, 1 tsp sage""","""15g garlic, 15g fresh lemon juice, 60g canola oil, 30g dijon mustard, 60g brown sugar, 5g salt, 2.5g pepper, 5g marjoram, 250g pork chops, 2 eggs, 250g water, 250g pancake mix, 5g paprika,"
crabby  cracker spread,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'appetizers', 'eggs-dairy', 'seafood', 'easy', 'no-cook', 'dinner-party', 'holiday-event', 'spreads', 'crab', 'cheese', 'food-processor-blender', 'dietary', 'shellfish', 'equipment', 'small-appliance', 'presentation', 'technique']","['mince crabmeat in food proccessor', 'combine all other ingredients and mix well with electric mixer', 'add crab and mix well to combine', 'may be formed into ball , if desired', 'to serve , pour cocktail sauce over top to cover , and serve with wheat thins or triscuit crackers']","i took this spread to a recent party, and it got rave reviews. everyone loved it, and it's pretty simple to make. i recommend making it a few hours before serving so the flavors get to blend. i served with additional cocktail sauce on the side because as it gets eaten, the top layer of sauce tends to disappear.","['cream cheese', 'onions', 'lemon juice', 'worcestershire sauce', 'mayonnaise', 'garlic salt', 'black pepper', 'imitation crabmeat', 'seafood cocktail sauce']",,"""8 ounces cream cheese, 1 medium onion, 2 tablespoons lemon juice, 2 tablespoons Worcestershire sauce, 1/2 cup mayonnaise, 1 teaspoon garlic salt, 1/2 teaspoon black pepper, 8 ounces imitation crabmeat, 2 tablespoons seafood cocktail sauce""","""224g cream cheese, 170g onion, 30g lemon juice, 30g Worcestershire sauce, 120g mayonnaise, 6g garlic salt, 3g black pepper, 224g imitation crabmeat, 30g seafood cocktail sauce"""
margarita  dip for fresh  or grilled fruit,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', '5-ingredients-or-less', 'appetizers', 'lunch', 'snacks', 'eggs-dairy', 'easy', 'beginner-cook', 'finger-food', 'dips', 'cheese', 'dietary', 'number-of-servings', 'presentation', 'served-cold', '4-hours-or-less']","['beat cream cheese , limeade concentrate and orange juice in medium bowl with electric mixer on medium speed until well blended', 'gently stir in cool whip topping', 'cover', 'refrigerate at least one hour', 'serve with cut-up fresh fruit', 'to grill fruit:', 'peaches , nectarines and plums get a deep caramel-like flavor when cooked on the grill', ""here's how to do it"", 'put pieces of fresh fruit on skewers', ""use fruit that's just staring to soften , so that it stays firmly on the skewers"", 'sprinkle fruit with cinnamon or nutmeg', 'place fruit on the grill for a minute to sear', 'check the underside', ""once it's golden with grill marks , turn it over to finish cooking""]",this cool and creamy dip is a refreshing treat for a hot summer day. serve it with cut up fresh or grilled fruit. from kraft kitchens.,"['cream cheese', 'frozen limeade concentrate', 'orange juice', 'cool whip topping']",,"""1 block cream cheese, 1 cup frozen limeade concentrate, 1 cup orange juice, 1 cup cool whip topping""","""225g cream cheese, 240g frozen limeade concentrate, 240g orange juice, 240g cool whip topping"""
healthy  fried rice,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'side-dishes', 'rice', 'asian', 'microwave', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'pasta-rice-and-grains', 'brown-rice', 'equipment']","['heat 1 tbsp oil in pan and saut mushrooms until browned', 'remove from heat', 'heat remaining oil in pan and add rice', 'add egg and mix until rice is thoroughly coated with egg', 'cook for 5-10 minutes on high , or until egg is lightly browned', 'combine rice mixture and vegetables in large bowl and stir until vegetables are well mixed', 'add soy sauce to taste and serve']","i made this once, hoping to have something light for lunch. not only was it easy, but it tasted great, and the bulk of the rice kept me full for hours!","['brown rice', 'olive oil', 'peas', 'carrot', 'broccoli floret', 'sliced mushrooms', 'egg', 'soy sauce']",,"""1 cup brown rice, 1/4 cup olive oil, 1 cup peas, 1 cup carrot, 1 cup broccoli floret, 1 cup sliced mushrooms, 1 egg, 2 tbsp soy sauce""","""240g brown rice, 60g olive oil, 200g peas, 200g carrot, 200g broccoli floret, 200g sliced mushrooms, 50g egg, 30g soy sauce"""
better  cake mix,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'desserts', 'easy', 'cakes', 'dietary', 'high-calcium', 'high-in-something', '3-steps-or-less']","['add these 3 ingredients to boxed caked mix', 'mix as usual']",to make a boxed cake mix even better add these 3 ingredients....it real does make a superior cake!,"['butter', 'flour', 'baking powder']",,"""1 cup butter, 2 cups flour, 1 tsp baking powder""","""240g butter, 400g flour, 6g baking powder"""
impossible  bisquick spinach feta pie,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'savory-pies', 'main-dish', 'dietary', 'one-dish-meal', 'low-calorie', 'low-carb', 'low-in-something']","['combine spinach , onion , red peppers , olives and seasonings in a greased 9 inches pie plate', 'top with feta', 'mix bisquick , milk and egg with whisk until smooth , then pour over other ingredients', 'bake at 400f for 30-35 minutes until knife in center comes out clean']",i had a recipe for a similar pie once from a bisquick cookbook but i lost it.  i made this one up based on a few other impossible pie recipes that i had and i actually liked my version better than the original one that i had so i thought i would post it.  (also this way i won't lose it again).,"['frozen spinach', 'onion', 'roasted red pepper', 'kalamata olive', 'feta cheese', 'oregano', 'fresh ground pepper', 'bisquick', 'milk', 'eggs']",,"""1 cup frozen spinach, 1 medium onion, 1 roasted red pepper, 1/2 cup kalamata olives, 1/2 cup crumbled feta cheese, 2 tsp oregano, 1 tsp fresh ground pepper, 1 1/2 cups bisquick, 1 cup milk, 2 eggs""","""240g frozen spinach, 115g medium onion, 150g roasted red pepper, 120g kalamata olives, 120g crumbled feta cheese, 10g oregano, 5g fresh ground pepper, 190g bisquick, 240g milk, 2 eggs"""
dorito  popcorn seasoning,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'healthy', 'condiments-etc', 'snacks', 'easy', 'herb-and-spice-mixes', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'high-fiber', 'high-protein', 'cooking-mixes', 'high-in-something', 'low-in-something', '3-steps-or-less']","['combine all seasonings and blend in a coffee grinder , or blender , to make a fine powder', 'store in a seasoning jar', 'sprinkle seasoning over freshly popped popcorn and toss to coat']",this is quick and easy.  from the blog www.wholenewmom.com.,"['nutritional yeast', 'garlic powder', 'onion powder', 'cumin', 'paprika', 'chili powder', 'cayenne pepper', 'sea salt']",,"""1 cup nutritional yeast, 2 tsp garlic powder, 1 tsp onion powder, 1 tsp cumin, 1 tsp paprika, 1 tsp chili powder, 1/2 tsp cayenne pepper, 1/2 cup sea salt""","""240g nutritional yeast, 30g garlic powder, 15g onion powder, 15g cumin, 15g paprika, 15g chili powder, 7g cayenne pepper, 120g sea salt"""
perfect  chocolate frosting,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', '5-ingredients-or-less', 'desserts', 'american', 'easy', 'cakes', 'chocolate', 'dietary', 'cake-fillings-and-frostings', 'number-of-servings']","['place a large bowl , filled halfway with ice , in the sink', 'in a medium size pot over medium low heat , melt chocolate , cream , and butter', 'stirring constantly , cook the mixture until all of the butter and chocolate melts and thickens', 'cook for 5-6 minutes', 'do not let boil', 'remove pot from heat', ""whisk in the sifted confectioners' sugar until mixture becomes smooth , then put the pot on top of the bowl of ice"", 'beat with an electric mixer on low speed for 4-5 minutes until frosting becomes smooth , thick , and fudgy', 'remove from ice', 'spread onto cooled cake layers', 'the frosting will thicken as it sets up', 'if the frosting gets too hard to spread , put back on low heat and stir constantly until you get the spreading consistency desired', 'i have been adding 1 tbs', 'of light corn syrup to the initial heavy cream and chocolate mixture to add more glossiness to the frosting']","this is now one of my favorite chocolate frostings. i got it from ""the chocolate cake mix doctor"" by anne byrn. i have made a few changes to the recipe. actually, i didn't have the 1 cup of semisweet chocolate chips that the original recipe called for. lennie came to the rescue (thanks!) by figuring out the appropriate amount of semisweet squares to use, which i did have on hand. now i always make it with the squares instead of the chips. this frosting is very thick, creamy, and fudgy. i usually bake two 9-inch layers, cut them into four layers, and slather this frosting on each and every layer and all over the top and sides--because i like a little cake with my frosting :) another thanks goes out to leeannr for making me post this recipe. now she loves it as much as i do.","['semisweet chocolate', 'heavy cream', 'butter', ""confectioners' sugar""]",,"""1 cup semisweet chocolate, 1 cup heavy cream, 1/2 cup butter, 2 cups confectioners' sugar""","""240g semisweet chocolate, 240g heavy cream, 120g butter, 400g confectioners' sugar"""
zucchini mix  in tomato sauce,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'low-protein', 'healthy', 'sauces', 'main-dish', 'condiments-etc', 'vegan', 'vegetarian', 'pizza', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'savory-sauces', 'healthy-2', 'low-in-something']","['chop or partially puree tomatoes to your liking', 'heat oil in large pan', 'add onion and celery , saute for about 10 minutes or until onion and celery are soft', 'add zucchini and cook until soft', 'add tomatoes , sugar and salt', 'bring to boil , and turn down to a simmer', 'simmer for 30 minutes', 'cool and pack into freezer containers', 'freeze up to 3 months']","this is a good base for pasta or pizza sauce. when thawed, just add garlic, herbs and cheese and away you go. this works just as well with canned tomatoes.","['tomatoes', 'olive oil', 'onion', 'celery', 'zucchini', 'sugar', 'salt']",,"""1 cup tomatoes, 1/4 cup olive oil, 1/2 cup onion, 1/4 cup celery, 1 cup zucchini, 1 tsp sugar, 1/2 tsp salt""","""240g tomatoes, 120g olive oil, 120g onion, 120g celery, 240g zucchini, 6g sugar, 3g salt"""
basic  beet borscht,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'healthy', 'soups-stews', 'vegetables', 'european', 'low-fat', 'vegetarian', 'russian', 'polish', 'stove-top', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'onions', 'equipment']","['cut off beet greens from the beets but leave about an inch or two of the tops on the beets', 'option:mince removed beet tops to add later', 'scrub the beets well', 'in a large pot , add beets and cover with cold water', 'bring the water to a boil and boil this for about 15-25 minutes until the beets are cooked', 'remove the beets from the water', 'save the water from the beets', 'remove the skins from the beets', 'strain the""beet juice"" into a pot', 'peel and grate the onion', 'grate the beets', 'put the grated onion and beets into the pot with the strained beet juice', 'option:you can add the finely chopped / minced beet tops , if you want to use them', 'bring all to a quick boil', 'add the salt , lemon juice , pepper , and honey , simmer until the honey has dissolved and all is well heated', 'serve , garnished with a dollop of sour cream']","a very ""basic"" beet borscht recipe. posted in reply to a message board request.","['beets', 'water', 'onions', 'salt', 'lemon juice', 'white pepper', 'honey', 'sour cream']",,"""2 beets, 1 onion, 1/2 cup water, 1 tsp salt, 2 tsp white pepper, 1 tbsp lemon juice, 1 tbsp honey, 1/4 cup sour cream""","""340g beets, 115g onion, 120ml water, 6g salt, 10g white pepper, 15g lemon juice, 15g honey, 60g sour cream"""
faux  sourdough,"['time-to-make', 'course', 'preparation', 'occasion', 'healthy', 'breads', 'bread-machine', 'easy', 'dietary', 'gifts', 'low-sodium', 'yeast', 'low-in-something', 'equipment', 'small-appliance', '4-hours-or-less']","['all ingredients should be at room temperature before starting', 'add the ingredients to the pan in the order listed', 'select ""white bread""', 'press ""start""']","while this doesn't have the authentic sourdough flavor, it still makes a tasty loaf!","['yeast', 'bread flour', 'sugar', 'baking soda', 'sour cream', 'vinegar', 'milk']",,"""2 cups bread flour, 1 tsp yeast, 1/2 cup sugar, 1 tsp baking soda, 1/2 cup sour cream, 2 tbsp vinegar, 1 cup milk""","""400g bread flour, 6g yeast, 120g sugar, 6g baking soda, 120g sour cream, 30g vinegar, 240g milk"""
no name   beef recipe   loco moco,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', '5-ingredients-or-less', 'main-dish', 'easy', 'dietary', 'one-dish-meal', 'number-of-servings']","['cook rice according to package directions', 'divide ground beef in half and make two patties seasoned to your own taste', 'cook patties in a large skillet until done and then set aside leaving fat in pan', 'cook onions in pan until tender and set aside', 'fry both eggs in same pan until done , but with soft centers', 'heat gravy in sauce pan or microwave oven', 'use two dinner plates , making a bed of the cooked rice on each', 'place one of the beef patties on each bed of rice', 'divide cooked onions and place each half around each of the patties', 'top each patty with one of the fried eggs', 'divide beef gravy and pour each half over the plates of food']","i saw this dish on a tv travel channel. it was served at an up scale diner on one of the hawian isles. i recall the name of the diner as being ""mike's"", but i don't remember the name of this dish!","['ground beef', 'white rice', 'beef gravy', 'onion', 'eggs']",,"""1 cup ground beef, 1 cup white rice, 1 cup beef gravy, 1 onion, 6 eggs""","""400g ground beef, 400g white rice, 400g beef gravy, 200g onion, 144g eggs"""
like money for nuthin    fudge,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'low-protein', 'fudge', 'desserts', 'easy', 'beginner-cook', 'holiday-event', 'candy', 'dietary', 'inexpensive', 'low-in-something']","['in a medium saucepan , mix together sugar and condensed milk', 'stir constantly over medium-low heat until all sugar is dissolved and mixture begins to boil', 'boil for 6 minutes , then add marshmallows , chocolate chips and margarine', 'line the bottom of cookie sheet or baking pan with wax paper and pour mixture evenly', 'allow to cool completely and cut into squares', 'use an air-tight container to store']","found this one in an old family cookbook. i love recipes like this... easy, quick and tastes like a million - for almost nuthin'! 

 :)","['sugar', 'condensed milk', 'marshmallows', 'milk chocolate chips', 'margarine']",,"""1 cup sugar, 1 cup condensed milk, 1 cup marshmallows, 1 cup milk chocolate chips, 2 tbsp margarine""","""400g sugar, 400g condensed milk, 240g marshmallows, 240g milk chocolate chips, 30g margarine"""
world s best    and easiest   teriyaki chicken wings,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', '5-ingredients-or-less', 'appetizers', 'main-dish', 'poultry', 'oven', 'easy', 'beginner-cook', 'potluck', 'holiday-event', 'chicken', 'crock-pot-slow-cooker', 'dietary', 'comfort-food', 'meat', 'wings', 'novelty', 'taste-mood', 'savory', 'to-go', 'equipment', '4-hours-or-less']","['mix sauce and sugar together , brush on both sides of the wings , then pour over wings in pan', 'cook in a roasting pan / cookie sheet with a""lip"" so the sauce doesn\'t spill and make a mess of the oven 350 degrees cook for 1 hour', 'i usually cook face down for about 40 minutes and then flip over', 'then when done throw all the gooey sauce into the crock pot with the wings and simmer on low heat for as long as you want', ""this is what makes them fall apart in your mouth , but you don't have to do it to cook them"", 'they should be done after an hour in the oven']","these wings fall apart in your mouth, your guests or family will be fighting over them.","['chicken wings', 'soy sauce', 'dark brown sugar']",,"""1 serving chicken wings, 2 tbsp soy sauce, 1 tbsp dark brown sugar""","""450g chicken wings, 30g soy sauce, 150g dark brown sugar"""
funny bones  cake,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'cakes', 'chocolate']","['for the filling: beat the cream cheese and peanut butter until combined', 'add the powdered sugar and vanilla and beat until combined', 'beat in milk , 1 t at a time , until you reach desired consistency', 'set aside', 'for the cake: preheat oven to 350 degrees', 'spray a 12 cup bundt pan with cooking spray for baking', 'mix cake mix , oil , sour cream and eggs in a bowl', 'beat 1 or 2 minutes at medium speed', 'reserve 2 cups of the batter', 'pour remaining batter into the prepared pan', 'put peanut butter filling in a ring on top of batter', 'spoon reserved batter on top', 'bake for 40-50 minutes', 'cool 20 minutes and remove from pan onto wire rack', 'for the glaze: mix powdered sugar , vanilla and lt', 'cream until smooth', 'add more cream as needed to desired consistancy', 'when cake is cool , place on serving platter and drizzle with glaze']","this is a chocolate bundt cake with peanut butter ""tunnel"".  made to taste like drakes funny bones.","['cream cheese', 'creamy peanut butter', 'powdered sugar', 'vanilla', 'milk', ""devil's food cake mix"", 'vegetable oil', 'sour cream', 'eggs', 'light cream']",,"""1 block cream cheese, 2 tbsp creamy peanut butter, 1 cup powdered sugar, 1 tsp vanilla, 1 cup milk, 1 package devil's food cake mix, 1/4 cup vegetable oil, 1 cup sour cream, 2 eggs, 1 cup light cream""","""450g cream cheese, 30g creamy peanut butter, 200g powdered sugar, 5g vanilla, 240g milk, 250g devil's food cake mix, 60g vegetable oil, 240g sour cream, 120g eggs, 240g light cream"""
joe s  peppermint cookies n cream brownies,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'easy', 'holiday-event', 'cookies-and-brownies', 'bar-cookies', 'brownies', 'christmas', 'number-of-servings']","['preheat oven to 350f', 'line a 913-inch baking pan with aluminum foil , and grease lightly', 'in a medium-large saucepan over low heat , melt together butter and chocolate , stirring occasionally', 'stir in sugar , salt and vanilla & peppermint extracts', 'remove from heat', 'whisk in eggs one at a time , waiting until each is fully incorporated before adding the next', 'stir in flour and cocoa powder until mixture is uniform', 'stir in crushed cookies', 'spread batter into prepared pan', 'if desired , crush 3-4 additional cookies finely and scatter on top of batter', 'you can also crush 1 candy-cane and sprinkle it on top', 'it will melt slightly but still be pretty and festive', 'bake for about 35 minutes , until a toothpick inserted into the center comes out with moist crumbs , but not coated with batter', 'cool brownies in pan on wire rack for 20 minutes , then lift brownies in the foil out of the pan and place on a wire rack to cool completely before slicing']","tired of eating candy-cane joe-joe cookies straight out of the box?  try them in this recipe!  (note:  this year i've also seen peppermint oreos, so you could use those if you don't have a trader joes near you).  these delicious, fudge-y brownies are made with the popular candy-cane chocolate wafer cookie available at trader joe's during the holidays.  make these early in the day as they slice best when cooled completely.","['butter', 'unsweetened chocolate', 'sugar', 'salt', 'vanilla extract', 'peppermint extract', 'eggs', 'all-purpose flour', 'unsweetened cocoa powder', 'peppermint oreos', 'candy cane']",,"""1 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1/2 cup unsweetened chocolate, 1/2 cup sugar, 1/2 cup butter, 2 tsp vanilla extract, 1/2 tsp peppermint extract, 2 eggs, 1/2 tsp salt, 1/2 cup crushed peppermint oreos, 1/2 cup crushed candy cane""","""480g all-purpose flour, 120g unsweetened cocoa powder, 120g unsweetened chocolate, 120g sugar, 120g butter, 10g vanilla extract, 2.5g peppermint extract, 4g eggs, 2.5g salt, 120g crushed peppermint oreos, 120g crushed candy cane"""
pink stuff     cherry pie filling  pineapple dessert,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'low-protein', 'desserts', 'side-dishes', 'easy', 'no-cook', 'beginner-cook', 'holiday-event', 'kid-friendly', 'easter', 'dietary', 'christmas', 'thanksgiving', 'low-sodium', 'low-in-something', '3-steps-or-less', 'technique']","['combine all ingredients and mix well', 'serve chilled', 'your family and friends will go nuts']",my husband and children would literally die without this for the holidays!  and it is so easy!  my husband says it is a side dish.  i say it is a dessert.,"['cherry pie filling', 'sweetened condensed milk', 'crushed pineapple', 'pecans', 'small marshmallow', 'frozen whipped topping']",,"""1 cup cherry pie filling, 1/2 cup sweetened condensed milk, 1 cup crushed pineapple, 1/2 cup pecans, 1 small marshmallow, 1 cup frozen whipped topping""","""480g cherry pie filling, 120g sweetened condensed milk, 240g crushed pineapple, 120g pecans, 50g small marshmallow, 240g frozen whipped topping"""
leftovers  dessert,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-1-or-2', '5-ingredients-or-less', 'desserts', 'eggs-dairy', 'fruit', 'easy', 'no-cook', 'beginner-cook', 'dinner-party', 'holiday-event', 'kid-friendly', 'vegetarian', 'cheese', 'dietary', 'independence-day', 'berries', 'strawberries', 'number-of-servings', '3-steps-or-less', 'technique']","['combine cream cheese and cool whip', 'fold fruits into cream cheese mixture', 'crumble half of the cake or any other sort of sweet crumbs in a glass', 'layer some of the fruit mixture , the rest of the cake , then the rest of the fruit', 'enjoy !']",use all the left overs from past desserts.,"['cream cheese', 'cool whip', 'cake crumbs', 'mixed fruit']",,"""1 cup cream cheese, 1 cup cool whip, 1 cup cake crumbs, 1 cup mixed fruit""","""480g cream cheese, 240g cool whip, 240g cake crumbs, 240g mixed fruit"""
bacon cheeseburger and fries  soup,"['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'soups-stews', 'beef', 'american', 'kid-friendly', 'dietary', 'low-calorie', 'comfort-food', 'low-carb', 'ground-beef', 'low-in-something', 'meat', 'taste-mood']","['in a large skillet , cook bacon', 'drain', 'crumble', 'set aside in a medium bowl', 'do not discard grease from skillet', 'in same skillet with bacon grease brown beef , onion , celery , garlic powder and pepper', 'remove with slotted spoon to bowl with bacon', 'be sure to remove all solids from skillet , leaving fat', 'add tomatoes to the beef mixture', 'peel potatoes and cut into 1 / 2"" dice', 'when fat in skillet is very hot again , fry potato cubes on all sides until well browned', 'drain', 'remove to bowl with bacon and beef', 'in soup pot , melt butter and add flour', 'whisk for 1 minute to cook flour', 'add chicken broth and half-and-half', 'cook , whisking constantly , until you see the first signs of thickening', 'begin adding grated cheeses , a little at a time , whisking constantly , until soup is bubbling , creamy and thick', 'remove from heat', 'add parsley , mustard and relish', 'stir well', 'add bowl of bacon and beef mixture and potatoes', 'stir', 'cover and let stand 5 minutes']","my son asked for cheeseburger soup, and having never made it i researched 'zaar. while i was browsing i had a vision: the best bacon-cheeseburger and fries i ever had, chopped into a soup or chowder. this is my vision realized. it came out even better than i had hoped. the flavors are layered, no one thing stands out, but each ingredient is recognizable. the celery stands in for lettuce, and everthing else is present! it is very rich.","['bacon', 'lean ground beef', 'onion', 'celery', 'garlic powder', 'black pepper', 'whole tomatoes', 'russet potatoes', 'butter', 'flour', 'chicken broth', 'half-and-half', 'extra-sharp cheddar cheese', 'velveeta cheese', 'parsley', 'yellow mustard', 'dill pickle relish']",,"""1 cup lean ground beef, 1/2 cup finely chopped onion, 2 stalks finely chopped celery, 1 tsp garlic powder, 1/2 tsp black pepper, 1 cup whole tomatoes, 2-3 medium russet potatoes, 2 tbsp butter, 2 cups flour, 1 cup chicken broth, 1 cup half-and-half, 1 cup grated extra-sharp cheddar cheese, 1/2 cup grated velveeta cheese, 1/4 cup chopped parsley, 2 tbsp yellow mustard, 2 tbsp dill pickle relish""","""480g lean ground beef, 120g finely chopped onion, 50g finely chopped celery, 5g garlic powder, 2.5g black pepper, 240g whole tomatoes, 3-4 medium russet potatoes, 30g butter, 240g flour, 240g chicken broth, 240g half-and-half, 240g grated extra-sh"
